,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-01,5.8,2.9,4.3,1.9,-1.6,0,2.3,87.02,0,,0,,,,,29.1,219.4,1032.2,100,11,,,,,1992-01-01T08:36:05,1992-01-01T16:30:59,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"10400099999,10315099999"
1,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-02,8,4.9,6.4,4,0,2,3.2,80.17,0,,0,,,,,40,221,1030.6,93.1,11.7,,,,,1992-01-02T08:36:00,1992-01-02T16:32:02,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
2,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-03,7.1,2.1,4.5,3.4,-3.1,-0.2,0.3,74.46,0,,0,,,,,34.7,207.6,1027,76,12.8,,,,,1992-01-03T08:35:51,1992-01-03T16:33:07,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
3,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-04,8.1,5.1,7.2,4.1,0.6,3.2,4.4,82.56,0,,0,,,,,36.2,225.8,1020.9,85.4,12.7,,,,,1992-01-04T08:35:40,1992-01-04T16:34:15,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
4,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-05,10.2,4.4,7.6,10.2,1.3,5.7,6.4,92.34,0,,0,,,,,32.8,223.3,1024.4,87.9,8,,,,,1992-01-05T08:35:24,1992-01-05T16:35:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
5,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-06,10.4,7.7,9.6,10.4,5.5,8.4,8.1,90.12,0,,0,,,,,37.1,238.9,1025.8,88.8,6.7,,,,,1992-01-06T08:35:06,1992-01-06T16:36:39,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
6,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-07,7.9,2.9,5.5,5.2,-0.7,2.2,2.4,80.7,0,,0,,,,,25.6,190.4,1021.2,10.5,10.3,,,,,1992-01-07T08:34:44,1992-01-07T16:37:54,0.03,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
7,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-08,10.1,2.8,7.7,10.1,-1.2,5.5,2.7,71.27,0,,0,,,,,36,184.4,1010.7,28.3,12,,,,,1992-01-08T08:34:19,1992-01-08T16:39:12,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
8,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-09,12,5.8,9.8,12,3.5,8.6,7.1,83.45,0,,0,,,,,29.3,170.7,1004.1,80.3,12.2,,,,,1992-01-09T08:33:51,1992-01-09T16:40:32,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
9,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-10,6,0.7,4.4,2.8,-2.4,0.6,2,85.04,0,,0,,,,,32.7,52.4,1020.6,39,10.4,,,,,1992-01-10T08:33:19,1992-01-10T16:41:54,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10416099999,10400099999,10315099999"
10,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-11,4.8,-3.1,0.5,4.8,-4.8,-0.4,-1.1,89.73,0,,0,,,,,10.6,155.3,1028.3,25.7,9.5,,,,,1992-01-11T08:32:45,1992-01-11T16:43:19,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
11,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-12,4,-0.4,2.3,2.8,-1.7,0.6,1.2,92.34,0,,0,,,,,17.8,258.1,1031.4,91.5,2.8,,,,,1992-01-12T08:32:07,1992-01-12T16:44:45,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
12,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-13,5.1,1.6,3.6,5,-0.5,2.7,1.4,85.57,0,,0,,,,,14.4,254.3,1036.1,88.1,9.6,,,,,1992-01-13T08:31:26,1992-01-13T16:46:13,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
13,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-14,7.1,3.4,5.2,3.9,0.8,2.1,3.9,91.73,0,,0,,,,,35.8,258.9,1033.9,94.8,6.8,,,,,1992-01-14T08:30:42,1992-01-14T16:47:43,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
14,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-15,7,5.4,6.5,5.2,2.9,4.2,4,84.7,0,,0,,,,,14.6,296.1,1034.8,94.5,11.6,,,,,1992-01-15T08:29:55,1992-01-15T16:49:14,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
15,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-16,6,3.9,5.4,4.6,-0.8,2.3,2.2,80.27,0,,0,,,,,27.3,276.5,1030.6,94.9,12,,,,,1992-01-16T08:29:05,1992-01-16T16:50:48,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
16,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-17,7,4.2,5.7,4.3,1.1,2.7,2.3,78.73,0,,0,,,,,21.9,300.7,1032.2,84.8,12.9,,,,,1992-01-17T08:28:13,1992-01-17T16:52:22,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
17,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-18,7,3.2,5.2,4.3,-0.1,2.1,2.3,81.98,0,,0,,,,,21.8,257.6,1032,87.9,11.9,,,,,1992-01-18T08:27:17,1992-01-18T16:53:59,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
18,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-19,7,4.4,5.5,3.8,0.2,1.5,4.2,91.92,0,,0,,,,,32.9,253.8,1021.2,92.7,4.5,,,,,1992-01-19T08:26:19,1992-01-19T16:55:36,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,10315099999"
19,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-20,6,-3.4,2,3.3,-8.7,-3.1,-0.4,84.33,0,,0,,,,,33.1,91.1,1024.4,68.2,12.2,,,,,1992-01-20T08:25:18,1992-01-20T16:57:15,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,10315099999"
20,"Dortmund, Nordrhein-Westfalen, Deutschland",1992-01-21,1.9,-5.3,-2.9,-2.7,-10.4,-7.7,-7.8,70.72,0,,0,,,47,,25.3,64,1036,0.6,15.6,,,,,1992-01-21T08:24:14,1992-01-21T16:58:55,0.52,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,10315099999"
