name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2018-01-01,9,4.1,6.8,5.2,0.7,3,2.4,73.8,7.5,100,50,rain,,,65.5,46.2,208.1,,82.7,10,19.4,1.6,1,,2018-01-01T08:35:56,2018-01-01T16:31:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-01-02,6,4.1,5.3,2.3,0.4,1.6,2.6,82.6,4.8,100,75,rain,,,35.3,38.3,236.4,,81.2,9.8,17.1,1.5,1,,2018-01-02T08:35:49,2018-01-02T16:32:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-03,10,6,7.3,10,0.3,2.9,3.6,77.6,19.9,100,100,rain,,,70.9,46.4,236.3,,92.8,9.4,11.5,0.9,1,,2018-01-03T08:35:38,2018-01-03T16:33:52,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-04,11,6.1,7.8,11,1.4,4.6,4.1,77.6,3.4,100,62.5,rain,,,63.3,39.3,233.3,,91.7,9.7,12.9,1,1,,2018-01-04T08:35:24,2018-01-04T16:35:02,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-05,9,7,8,6.5,2.2,4.5,3.4,72.7,1.8,100,33.33,rain,,,63,38.6,228.2,,59.5,10,24.2,2.1,1,,2018-01-05T08:35:06,2018-01-05T16:36:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-06,7,3,5,7,-0.9,2.6,2,80.8,0.1,100,4.17,rain,,,,21.9,125.1,,28.1,9.8,19.8,1.7,1,,2018-01-06T08:34:45,2018-01-06T16:37:28,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-07,4.1,1,2.2,0.9,-4.5,-2.4,-0.6,81.6,0,0,0,,,,46.4,24.2,53.5,,95.4,9.7,20.3,1.7,1,,2018-01-07T08:34:21,2018-01-07T16:38:46,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-08,4.1,1,1.9,-0.9,-4.5,-3.2,-1.4,78.7,0,0,0,,,,35.3,30.9,62.8,,42.5,10,34.5,2.9,2,,2018-01-08T08:33:54,2018-01-08T16:40:05,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-09,6.9,0.9,3.2,5.1,-3.1,1,0.8,84.5,0,0,0,,,,,20.2,119.3,,9.8,10,21.5,1.8,1,,2018-01-09T08:33:24,2018-01-09T16:41:26,0.78,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-01-10,9.1,5.9,7.3,7.3,2.9,5,3.2,75.5,0.4,100,16.67,rain,,,,20.4,167.4,,53.5,10,24.7,2.1,2,,2018-01-10T08:32:50,2018-01-10T16:42:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-01-11,7.1,5,6,7.1,3.9,5.6,3.6,84.2,0,0,0,,,,,7.7,241,,94.8,9.1,25.2,2,2,,2018-01-11T08:32:13,2018-01-11T16:44:15,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-01-12,5,3,3.8,4,1.7,3.4,2.7,92.6,0,0,0,,,,,5.4,192.4,,85.8,1.9,6.8,0.6,0,,2018-01-12T08:31:33,2018-01-12T16:45:43,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-01-13,6,2.1,4.4,4.3,0.6,2.7,1,79.5,0,0,0,,,,,15.2,109.2,,74.4,6.7,22,1.7,2,,2018-01-13T08:30:50,2018-01-13T16:47:12,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW,AS204"
Dortmund,2018-01-14,4,1.1,2.9,1.5,-3,-0.5,-2.6,67.7,0,0,0,,,,,22.3,126.1,,48.5,10,32.7,2.7,2,,2018-01-14T08:30:05,2018-01-14T16:48:43,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-15,6.1,2,4.2,1.4,-2.8,-0.6,0,74.1,9.7,100,54.17,rain,,,61.2,37,186.4,,52.1,10,19.9,1.7,1,,2018-01-15T08:29:16,2018-01-15T16:50:16,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-16,6,2,4.3,1.9,-2.9,-0.4,1.4,81.9,6.3,100,95.83,"rain,snow",,,66.6,34.6,237.8,,79.4,10,26,2.3,2,,2018-01-16T08:28:24,2018-01-16T16:51:50,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-01-17,3,1,2.1,-1.5,-4.7,-3,-0.2,84.5,5.2,100,79.17,"rain,snow",,,54.1,33.7,244.5,,82.1,9.1,20.2,1.6,2,,2018-01-17T08:27:29,2018-01-17T16:53:26,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-01-18,10,2,4.4,10,-2.9,-0.4,0.7,77,7.6,100,79.17,rain,,,120.1,76.2,234.9,,78.1,9.9,14.2,1.1,1,,2018-01-18T08:26:32,2018-01-18T16:55:03,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,10315099999,EDLW"
Dortmund,2018-01-19,4,0.1,2.2,0.4,-3.1,-1.5,0.2,86.9,3.2,100,45.83,"rain,snow",,,,24,238.1,,90.1,8.4,21.8,1.9,1,,2018-01-19T08:25:32,2018-01-19T16:56:41,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-20,4,1,2.4,2,-4.4,-1.1,0.2,85.7,3.9,100,62.5,"rain,snow",,,,23.6,193.1,,82.3,9.4,26.2,2.3,1,,2018-01-20T08:24:29,2018-01-20T16:58:21,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-21,4,1,1.9,2.1,-2.4,-0.9,0,87.2,0.6,100,25,"rain,snow",,,,14.6,244.4,,75.3,8.4,26.3,2.2,1,,2018-01-21T08:23:23,2018-01-21T17:00:02,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-22,7,1.1,4.7,5.2,-3.2,1.1,2.2,84,1.6,100,37.5,"rain,snow",,,33.5,25.2,223,,76.3,9.4,20.3,1.8,1,,2018-01-22T08:22:15,2018-01-22T17:01:44,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-23,8.1,5.1,7,5,1.6,3.6,3.6,79,1,100,25,rain,,,42.5,33,218.9,,93.5,9.7,28.2,2.4,1,,2018-01-23T08:21:04,2018-01-23T17:03:26,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-24,13.1,9.1,11.5,13.1,5.4,11.2,7.1,74.4,0.9,100,16.67,rain,,,61.2,36.9,207.5,,84,9.9,30.3,2.7,2,,2018-01-24T08:19:51,2018-01-24T17:05:10,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-25,12,6.1,8.1,12,3.4,6,5,80.5,3.9,100,75,rain,,,53.6,36.9,214.4,,65.6,9.7,28.4,2.4,1,,2018-01-25T08:18:35,2018-01-25T17:06:55,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-26,8,4,6.2,7.3,2.9,4.7,3.9,85.4,0.2,100,8.33,rain,,,,12.8,228.1,,70.4,9.9,35.3,3,2,,2018-01-26T08:17:17,2018-01-26T17:08:40,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-27,7,3.1,5.4,5,0.1,2.4,2.3,80.9,0.7,100,12.5,rain,,,63,31.4,207.3,,59.7,8.7,39.9,3.4,2,,2018-01-27T08:15:57,2018-01-27T17:10:26,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
Dortmund,2018-01-28,10,5,7.8,10,-0.3,4.8,5.1,82.8,2.4,100,75,rain,,,51.8,38.3,231.8,,96.6,8.5,30.9,2.6,2,,2018-01-28T08:14:34,2018-01-28T17:12:13,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW"
