,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Washington, DC, United States",2022-07-28,91.9,77.3,83.5,98.8,77.3,86.4,71.2,68,0.04,42.9,4.17,rain,0,0,25.3,13.8,185.5,1012,70.7,11.8,70.1,6.1,4,30,2022-07-28T06:05:42,2022-07-28T20:23:08,1,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,"KDCA,F0198,KADW,KDAA"
1,"Washington, DC, United States",2022-07-29,87.7,71.5,78.2,95,71.5,79.7,71.9,82.2,0.6,81,12.5,rain,0,0,17,9.8,210.6,1013.6,67.4,11.6,164.1,14.3,6,30,2022-07-29T06:06:34,2022-07-29T20:22:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
2,"Washington, DC, United States",2022-07-30,87.5,67,77.1,86.5,67,77,62.4,64.7,0,33.3,0,,0,0,14.1,8.3,275.5,1019.1,56,14.3,328.1,28.4,10,10,2022-07-30T06:07:26,2022-07-30T20:21:15,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Washington, DC, United States",2022-07-31,89.9,67.6,76.4,88.8,67.6,76.3,59.8,58.6,0,47.6,0,rain,0,0,14.1,7.6,262.3,1019.9,80.2,14.9,231,19.8,8,10,2022-07-31T06:08:18,2022-07-31T20:20:16,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
4,"Washington, DC, United States",2022-08-01,89.5,67.7,77.1,89.6,67.7,77.7,65.6,71.2,0.04,57.1,4.17,rain,0,0,12.8,5.4,246.4,1016,50.5,15,274.4,23.7,9,10,2022-08-01T06:09:11,2022-08-01T20:19:16,0.07,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,
5,"Washington, DC, United States",2022-08-02,93.3,72.1,80.9,94.6,72.1,81.9,66.6,64.7,0.16,23.8,8.33,rain,0,0,20.1,11.2,265.7,1012.1,48.7,14.2,251.3,21.7,8,30,2022-08-02T06:10:04,2022-08-02T20:18:14,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Washington, DC, United States",2022-08-03,92.4,71.1,81.3,95.6,71.1,83.2,67.8,66,0,14.3,0,,0,0,13,5.4,266.7,1013.4,21.3,15,271.3,23.5,9,30,2022-08-03T06:10:57,2022-08-03T20:17:11,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
7,"Washington, DC, United States",2022-08-04,98,74.2,85.3,101.2,74.2,87.2,67.3,57.8,0.01,14.3,4.17,rain,0,0,13.6,6.5,227.2,1014.5,4.5,15,305,26.4,9,30,2022-08-04T06:11:50,2022-08-04T20:16:06,0.2,Clear,Clear conditions throughout the day.,clear-day,
8,"Washington, DC, United States",2022-08-05,87.2,74.4,80,92.7,74.4,82.3,70.3,73.1,0.21,33.3,16.67,rain,0,0,13.2,6.5,243.2,1016.4,46.2,14.4,171.9,14.7,5,30,2022-08-05T06:12:44,2022-08-05T20:15:00,0.25,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
9,"Washington, DC, United States",2022-08-06,93.3,72.6,80.7,97.3,72.6,82.8,70.6,73.9,0.14,38.1,16.67,rain,0,0,15.7,6.7,214.6,1018.5,83.4,13.8,231.1,20.1,8,10,2022-08-06T06:13:37,2022-08-06T20:13:53,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
10,"Washington, DC, United States",2022-08-07,92.6,71.7,80.5,97.3,71.7,82.5,70,72.5,0.07,38.1,12.5,rain,0,0,19.7,8.5,182.6,1020.9,46.9,15,252.8,21.9,9,30,2022-08-07T06:14:31,2022-08-07T20:12:44,0.36,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
11,"Washington, DC, United States",2022-08-08,96,73.8,83.6,98,73.8,85.8,69.9,67.3,0,33.3,0,,0,0,18,8,150.5,1020.7,61.9,15,282.4,24.3,9,10,2022-08-08T06:15:25,2022-08-08T20:11:34,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
12,"Washington, DC, United States",2022-08-09,98.3,77.1,86.8,102.1,77.1,89.4,67.4,54.4,0,28.6,0,,0,0,12.8,6.9,255.8,1015.9,36.9,15,234.1,20.4,8,30,2022-08-09T06:16:19,2022-08-09T20:10:23,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
13,"Washington, DC, United States",2022-08-10,91.8,78.3,85.7,96.7,78.3,88.9,68.5,57.4,0.03,28.6,8.33,rain,0,0,19,10.5,255.5,1012.6,42,15,185.6,16.2,6,30,2022-08-10T06:17:13,2022-08-10T20:09:10,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
14,"Washington, DC, United States",2022-08-11,81.2,61.4,72.6,84.8,61.4,72.9,66.4,81.7,0.43,28.6,25,rain,0,0,17.2,11.9,221.7,1012.5,71.3,11.8,176.6,15,5,10,2022-08-11T06:18:08,2022-08-11T20:07:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
